DOIorPMID,Publisher,Country (primary),Cat1,Cat2,Cat3,Email to Editor,RT,EoC,CR,Correction or Retraction Date,Survival,,,
10.1371/journal.pone.0084982,PLOS,USA,,1,,4/30/2014,,1,0,5/21/2020,2213,,,
10.1371/journal.pone.0102889,PLOS,France,,1,,10/7/2015,,,,,-42284,,,
10.1007/s10549-013-2722-8,Springer Nature,France,,1,,10/4/2015,,,1,3/8/2016,156,,,
10.1007/s11010-008-9746-0,Springer Nature,Korea,1,,,10/4/2015,,1,,10/19/2022,2572,,,
10.1007/s00280-010-1514-7,Springer Nature,USA,,1,,4/12/2015,,,,,-42106,,,
10.1371/journal.pone.0058037,PLOS,USA,,1,,10/7/2015,,,,,-42284,,,
10.1128/iai.64.6.2282-2287.1996,ASM,USA,1,,,3/8/2015,,,,,-42071,,,
10.1038/39062,Springer Nature,Canada,,,1,5/3/2015,,,1,12/20/2017,962,,,
10.1038/34214,Springer Nature,Japan,,,1,5/3/2015,,,1,10/29/2015,179,,,
10.1128/JCM.36.6.1666-1673.1998,ASM,USA,1,,,7/1/2015,,,1,10/24/2023,3037,,,
10.1038/44188,Springer Nature,USA,,1,,5/3/2015,,,1,8/22/2023,3033,,,
10.1038/44586,Springer Nature,Canada,,,1,5/3/2015,,,,,-42127,,,
PMID:9864199,ASM,USA,1,,,4/12/2015,,,,,-42106,,,
10.1038/35066610,Springer Nature,Switzerland,,,1,5/3/2015,,,,,-42127,,,
10.1023/a:1016549922439,Springer Nature,India,,1,,10/4/2015,,,,,-42281,,,
10.1007/s00280-002-0562-z,Springer Nature,Japan,,,1,6/28/2015,,,,,-42183,,,
10.1128/IAI.71.2.766-773.2003,ASM,France,,,1,3/8/2015,,,,,-42071,,,
10.1128/IAI.71.3.1209-1216.2003,ASM,USA,1,,,3/8/2015,,,,,-42071,,,
10.1007/s00280-003-0714-9,Springer Nature,Japan,,,1,6/28/2015,,,,,-42183,,,
10.1111/j.1348-0421.2004.tb03525.x,Wiley,Japan,1,,,10/4/2015,,,,,-42281,,,
10.1128/IAI.72.3.1223-1229.2004,ASM,Canada,,1,,3/8/2015,,,,,-42071,,,
10.1128/JCM.42.3.1082-1088.2004,ASM,Japan,1,,,12/26/2014,,,,,-41999,,,
10.1007/s11010-005-4539-1,Springer Nature,China,,,1,10/4/2015,1,,,11/15/2023,2964,,,
10.1111/j.1348-0421.2005.tb03723.x,Wiley,Japan,,,1,10/4/2015,,,1,2/19/2016,138,,,
10.1128/IAI.73.3.1386-1398.2005,ASM,Australia,,1,,3/8/2015,,,,,-42071,,,
10.1186/bcr1279,BioMedCentral,Sweden,,1,,7/29/2015,,,,,-42214,,,
10.1186/bcr1323,BioMedCentral,Japan,,1,,7/29/2015,,,1,2/17/2019,1299,,,
10.1007/s11010-006-9214-7,Springer Nature,China,,,1,10/4/2015,,,,,-42281,,,
10.1016/j.jaut.2006.05.001,Elsevier,Italy,,,1,10/4/2015,,,,,-42281,,,
10.1016/j.lungcan.2006.06.006,Elsevier,Australia,,1,,10/4/2015,,,1,11/1/2016,394,,,
10.1080/08977190600759923,Taylor&Francis,UK,,1,,10/4/2015,,,,,-42281,,,
10.1111/j.1365-2672.2006.02901.x,Wiley,Colombia,,,1,10/4/2015,,,,,-42281,,,
10.1128/IAI.74.2.1148-1155.2006,ASM,USA,,,1,3/8/2015,,,,,-42071,,,
10.1128/JCM.00418-06,ASM,Spain,,,1,12/26/2014,,,,,-41999,,,
10.1128/JCM.44.3.772-776.2006,ASM,USA,1,,,12/26/2014,,,,,-41999,,,
10.1186/bcr1533,BioMedCentral,Israel,,1,,7/29/2015,,,1,7/9/2018,1076,,,
10.1007/s00280-006-0262-1,Springer Nature,USA,1,,,6/28/2015,,,,,-42183,,,
10.1007/s11010-007-9560-0,Springer Nature,China,,,1,10/4/2015,1,,,11/23/2023,2972,,,
10.1007/s11010-007-9564-9,Springer Nature,Canada,,,1,10/4/2015,,,,,-42281,,,
10.1016/j.cyto.2007.04.003,Elsevier,Korea,,1,,10/4/2015,,,,,-42281,,,
10.1016/j.lungcan.2006.10.019,Elsevier,USA,,1,,10/4/2015,,,,,-42281,,,
10.1111/j.1365-2672.2007.03334.x,Wiley,Canada,1,,,10/4/2015,,,,,-42281,,,
10.1126/science.1139089,AAAS,USA,,1,,4/19/2015,,,,,-42113,,,
10.1007/s11010-008-9773-x,Springer Nature,Poland,,,1,10/4/2015,1,,,4/16/2024,3117,,,
